Question,Option1,Option2,Option3,Option4,CorrectAnswer,level
5/8 + 1/4 + 3/2 =,9/64,150/64,19 / 8 ,9/ 8,3,1
Tres cuarto de los 44 gorilas del zoo son hembras ¿Cuántos machos hay?,33 machos,22 machos,11 machos,1 macho,3,1
37/3 - 5 =,33/3,15/ 3 ,22/ 3,7/ 3,3,1
¿En qué tipo de documentos escritos se anuncian los cursos o las oposiciones a un trabajo?,Convocatoria,Informe,Reglamento,Anuncio,1,1
¿Cuál de los siguientes tipos de texto escritos requiere un extenso proceso de investigación y análisis antes de su publicación?,Una receta de cocina,Noticia periodística,Un correo electrónico,Informe,4,1
Señala cuál de los siguientes tipos de textos escritos no es de cáracter instructivo,Un folleto publicitario,un manual de un télefono móvil,Las normas de evacuación de un avión,Una receta de cocina,1,1
¿Cuántos estados tiene México?,32,36,30,17,1,1
¿Cuáles son los principales 5 sabores primarios?,"Agrio, dulce, picoso , salado u agridulce","Dulce, amargo, ácido, salado y umami","Dulce,salado, picoso, arcoiris","Dulce,salado, ácido,arcoiris y Agrio",2,1
¿Dónde y cuando se originaron los juegos Olímpicos?,España-1377,Nueva Zelanda-2009,Grecia-776 A.C,Alemania-1540,3,1
¿Cuántos huesos tiene el cuerpo humano?,489 huesos,117 huesos,206 huesos,107 huesos,3,1
